,State,CountyName,ZHVI 2003,ZHVI 2008,ZHVI 2013,ZHVI 2018,ZHVI 2019,ZHVI 2020,ZHVI 2021,ZHVI 2022,ZHVI 2023_x,ZHVF 2024-02-29,ZHVF 2024-04-30,ZHVF 2025-01-31_x,ZORI 2018,ZORI 2019,ZORI 2020,ZORI 2021,ZORI 2022,ZORI 2023_x,SizeRankMSA,Sale Listings 2019,Sale Listings 2020,Sale Listings 2021,Sale Listings 2022,Sale Listings 2023,Sales 2013,Sales 2018,Sales 2019,Sales 2020,Sales 2021,Sales 2022,Sales 2023,Days on Market 2019,Days on Market 2020,Days on Market 2021,Days on Market 2022,Days on Market 2023,New Construction 2018,New Construction 2019,New Construction 2020,New Construction 2021,New Construction 2022,New Construction 2023,Transit Rank,Transit Score_x,Transit TCI,Transit Routes,Transit Shed (sq mi),Transit percentage,Unnamed: 0,STATEFP,COUNTYFP,NatWalkInd_x,1yr pct change ZHVI,2yr pct change ZHVI,3yr pct change ZHVI_x,1yr pct change ZORI,2yr pct change ZORI,3yr pct change ZORI_x,1yr pct change Sales,2yr pct change Sales,3yr pct change Sales_x,1yr pct change Sale Listings,2yr pct change Sale Listings,3yr pct change Sale Listings_x,1yr pct change Days on Market,2yr pct change Days on Market,3yr pct change Days on Market_x,1yr pct change New Construction,2yr pct change New Construction,3yr pct change New Construction_x,ZORI 2023_y,ZHVI 2023_y,ZHVF 2025-01-31_y,Transit Score_y,NatWalkInd_y,3yr pct change ZHVI_y,3yr pct change ZORI_y,3yr pct change Sale Listings_y,3yr pct change Sales_y,3yr pct change Days on Market_y,3yr pct change New Construction_y,km2cluster_x,km3cluster_x,km4cluster_x,km5cluster_x,km6cluster_x,km7cluster_x,km8cluster_x,km9cluster_x,km10cluster_x,agg2cluster_x,agg3cluster_x,agg4cluster_x,agg5cluster_x,agg6cluster_x,agg7cluster_x,agg8cluster_x,agg9cluster_x,agg10cluster_x,ZORI 2023,ZHVI 2023,ZHVF 2025-01-31,Transit Score,NatWalkInd,3yr pct change ZHVI,3yr pct change ZORI,3yr pct change Sale Listings,3yr pct change Sales,3yr pct change Days on Market,3yr pct change New Construction,km2cluster_y,km3cluster_y,km4cluster_y,km5cluster_y,km6cluster_y,km7cluster_y,km8cluster_y,km9cluster_y,km10cluster_y,agg2cluster_y,agg3cluster_y,agg4cluster_y,agg5cluster_y,agg6cluster_y,agg7cluster_y,agg8cluster_y,agg9cluster_y,agg10cluster_y
2,ID,Ada County,162333.63036310414,230910.24961142906,197273.93912619248,301233.694891745,337018.45903728914,380146.14306485926,517107.3314262058,572448.1990518506,522272.9200599432,0.16666666666666666,1.3266666666666667,6.013333333333334,1137.2070393785023,1225.0128740680198,1311.2649152373215,1650.7487681776906,1804.2404683576751,1840.726925855469,79.0,4119.083333333333,3083.0,2147.0,2686.5833333333335,2299.3333333333335,884.0833333333334,1225.6666666666667,1165.3333333333333,1243.0833333333333,1176.5,893.3333333333334,695.0,40.416666666666664,28.5,17.583333333333332,29.083333333333332,44.083333333333336,338.1666666666667,262.3333333333333,332.5,476.6666666666667,417.9166666666667,376.0,2827.0,0.4000000000000001,0.10000000000000002,1.0,3.6666666666666665,0.0023333333333333335,3730.0,16.0,1.0,12.216962524502959,-0.08655889330837588,0.010007679193022688,0.37273726368504423,0.01225333416871809,0.09623078048388779,0.3372396484932879,-0.22201492537313436,-0.40926476838079046,-0.44090634846148685,-0.14414218803312756,0.0709517155721162,-0.2541896421234728,0.5157593123209171,1.5071090047393367,0.5467836257309943,-0.10029910269192427,-0.21118881118881122,0.13082706766917293,1840.726925855469,522272.9200599432,6.013333333333334,0.4000000000000001,12.216962524502959,0.37273726368504423,0.3372396484932879,-0.2541896421234728,-0.44090634846148685,0.5467836257309943,0.13082706766917293,1,1,3,0,5,3,6,6,5,0,0,2,2,2,0,5,5,5,1840.726925855469,522272.9200599432,6.013333333333334,0.4000000000000001,12.216962524502959,0.37273726368504423,0.3372396484932879,-0.2541896421234728,-0.44090634846148685,0.5467836257309943,0.13082706766917293,1,1,3,0,5,3,6,6,5,0,0,2,2,2,0,5,5,5
6,CO,Adams County,214792.22538979832,192159.62794886937,197393.65667374377,343590.62354091584,359908.05971323064,380112.0360432543,442597.82949727983,508068.79922781925,495180.98349825374,0.19333333333333333,1.1933333333333331,2.8466666666666667,1620.2035810868786,1681.2425281239707,1733.5515274940678,1843.8159583213144,1977.3429230033455,2051.6053279236803,19.0,12196.916666666666,9848.25,7600.25,8299.166666666666,8664.0,4714.416666666667,4646.75,4726.083333333333,4852.5,5210.583333333333,3921.6666666666665,3105.0,34.583333333333336,28.416666666666668,15.916666666666666,20.416666666666668,32.083333333333336,728.5,595.5,412.4166666666667,328.9166666666667,338.4166666666667,348.4166666666667,1102.5833333333333,4.75,3.4583333333333335,3.9166666666666665,28.666666666666668,0.04083333333333333,1936.0,8.0,1.0,12.0384615386,-0.024926107640608305,0.11897873147382892,0.30246535673057917,0.03613009723674677,0.12881886214326646,0.2257491476482364,-0.20824479388015296,-0.40409742991027875,-0.3601236476043277,0.04396023697158357,0.13996250123351206,-0.12024979057192903,0.5714285714285715,1.0157068062827228,0.12903225806451615,0.029549372075843388,0.059285533316442866,-0.15518286522529803,2051.6053279236803,495180.98349825374,2.8466666666666667,4.75,12.0384615386,0.30246535673057917,0.2257491476482364,-0.12024979057192903,-0.3601236476043277,0.12903225806451615,-0.15518286522529803,0,0,1,0,3,2,6,5,7,0,0,2,2,2,0,7,7,7,2051.6053279236803,495180.98349825374,2.8466666666666667,4.75,12.0384615386,0.30246535673057917,0.2257491476482364,-0.12024979057192903,-0.3601236476043277,0.12903225806451615,-0.15518286522529803,0,0,1,0,3,2,6,5,7,0,0,2,2,2,0,7,7,7
15,NY,Albany County,130345.77131640585,195419.7417061939,181135.17422918577,201190.83109588435,208678.53454084473,218351.22924825,245095.1359860237,269704.49585223023,282739.71038056305,0.3878787878787879,1.1515151515151516,2.9939393939393937,,,1216.5950484393156,1282.1528549572313,1354.4970798907902,1446.0077827217333,64.0,2786.1666666666665,1947.1666666666667,2263.5833333333335,2182.0,1722.9166666666667,500.0,675.25,610.6666666666666,626.1666666666666,940.25,836.5833333333334,696.25,65.75,56.75,28.416666666666668,28.25,30.5,28.5,18.666666666666668,21.916666666666668,57.333333333333336,39.416666666666664,24.166666666666668,223.91666666666666,7.666666666666667,7.3500000000000005,14.0,29.083333333333332,0.12491666666666666,23881.0,36.0,1.0,11.404964539187233,0.04825973642361017,0.1528952092303004,0.29923673369389314,0.06729408430908264,0.12329313106894928,0.23451762233749218,-0.16774579141348744,-0.2595054506780112,0.1119244077721587,-0.210395661472655,-0.23885432389647687,-0.11516733715655225,0.07964601769911504,0.0733137829912023,-0.46255506607929514,-0.38689217758985195,-0.5784883720930233,0.1026615969581749,1446.0077827217333,282739.71038056305,2.9939393939393937,7.666666666666667,11.404964539187233,0.29923673369389314,0.23451762233749218,-0.11516733715655225,0.1119244077721587,-0.46255506607929514,0.1026615969581749,1,2,0,3,0,5,1,8,4,0,2,0,0,5,2,0,4,9,1446.0077827217333,282739.71038056305,2.9939393939393937,7.666666666666667,11.404964539187233,0.29923673369389314,0.23451762233749218,-0.11516733715655225,0.1119244077721587,-0.46255506607929514,0.1026615969581749,1,2,0,3,0,5,1,8,4,0,2,0,0,5,2,0,4,9
24,PA,Allegheny County,100750.8007488391,116946.24481795978,118519.77377226188,149619.81009429993,157102.15654776094,166916.75994139104,190666.99149457202,201978.2467992018,203652.26519916425,0.12446808510638299,0.47234042553191485,2.4585106382978723,1114.8617344541528,1157.1907192092576,1223.4351981583807,1277.6209266950277,1341.1851925263968,1364.0715625349894,27.0,10132.333333333334,8102.0,6611.25,6281.833333333332,5823.666666666668,2606.3333333333335,2946.166666666666,2949.25,3040.166666666666,3278.333333333334,2972.666666666666,2519.0,65.16666666666667,55.83333333333334,32.083333333333336,30.75,36.833333333333336,65.16666666666667,62.08333333333334,68.16666666666667,87.83333333333331,73.25,57.75,312.86046511627904,7.5813953488372094,9.82093023255814,14.511627906976743,57.48837209302326,0.16102325581395346,31905.0,42.0,3.0,12.701060606099091,-0.0029737457673423818,0.0551508099073432,0.23619556375916723,0.05004307606633545,0.1270636596198433,0.1923189983006249,-0.15261269342901992,-0.23162175902389429,-0.17142700509840467,-0.07293518346554871,-0.11912774941702901,-0.281206286513618,0.19783197831978327,0.14805194805194805,-0.34029850746268653,-0.21160409556313994,-0.3425047438330171,-0.15281173594132036,1364.0715625349894,203652.26519916425,2.4585106382978723,7.5813953488372094,12.701060606099091,0.23619556375916723,0.1923189983006249,-0.281206286513618,-0.17142700509840467,-0.34029850746268653,-0.15281173594132036,0,2,0,3,0,1,7,2,9,0,0,1,1,1,1,1,0,3,1364.0715625349894,203652.26519916425,2.4585106382978723,7.5813953488372094,12.701060606099091,0.23619556375916723,0.1923189983006249,-0.281206286513618,-0.17142700509840467,-0.34029850746268653,-0.15281173594132036,0,2,0,3,0,1,7,2,9,0,0,1,1,1,1,1,0,3
34,MD,Anne Arundel County,304886.18652994244,452515.48172836355,401364.8291734341,448425.5216391679,457938.5118713128,475119.5008568475,538002.1240643507,579167.1666760156,589922.2148737286,0.07647058823529412,0.5764705882352942,1.761764705882353,1827.4358479384484,1862.6589624482206,1888.9660507145882,1881.3642052846333,1946.8377661155023,2129.0409829422974,20.0,12302.833333333334,9226.583333333334,7686.833333333332,6715.75,5593.333333333333,2964.0833333333335,3678.5,3687.1666666666665,4250.083333333333,5713.666666666667,4340.75,3060.25,56.833333333333336,45.5,20.666666666666668,21.25,25.416666666666668,306.3333333333333,177.91666666666666,208.33333333333334,255.08333333333337,192.5,161.25,1616.0666666666666,3.4866666666666664,2.7333333333333334,3.466666666666667,10.733333333333333,0.04733333333333333,13212.0,24.0,3.0,9.288461538483974,0.019991264258096955,0.09790963774377408,0.23149893903227617,0.037387328190794863,0.11945502393882619,0.22083182072196636,-0.29499510453262684,-0.46439822647453477,-0.27995529499421573,-0.1671319907183363,-0.27234882157802304,-0.39378065192062794,0.19607843137254907,0.22983870967741937,-0.4413919413919414,-0.16233766233766234,-0.3678536426004574,-0.22600000000000003,2129.0409829422974,589922.2148737286,1.761764705882353,3.4866666666666664,9.288461538483974,0.23149893903227617,0.22083182072196636,-0.39378065192062794,-0.27995529499421573,-0.4413919413919414,-0.22600000000000003,0,2,0,1,4,6,4,2,8,0,0,1,1,1,1,1,0,3,2129.0409829422974,589922.2148737286,1.761764705882353,3.4866666666666664,9.288461538483974,0.23149893903227617,0.22083182072196636,-0.39378065192062794,-0.27995529499421573,-0.4413919413919414,-0.22600000000000003,0,2,0,1,4,6,4,2,8,0,0,1,1,1,1,1,0,3
35,MN,Anoka County,184176.79013545765,192733.46821160393,168489.90610888464,244104.0598364909,257741.3103410463,273497.08308855124,313303.7999021443,342786.09059392835,342343.1219597983,0.11538461538461539,0.7461538461538461,1.5615384615384615,,,1214.3529411041272,1360.4709546809593,1394.3025566259957,1485.994343974627,16.0,13697.25,12149.833333333334,10140.666666666666,8983.833333333334,7853.0,5123.666666666667,5345.083333333333,5358.75,5545.25,6049.833333333333,4629.166666666667,3558.6666666666665,47.583333333333336,40.666666666666664,26.916666666666668,28.666666666666668,36.583333333333336,559.75,511.9166666666667,545.9166666666666,602.3333333333334,526.0,439.6666666666667,1691.7142857142858,3.3285714285714287,2.4,2.857142857142857,16.714285714285715,0.045,15973.0,27.0,3.0,9.27234042540851,-0.0008340216715370398,0.09184547999124582,0.2506210807429516,0.041430962739213484,0.09114564480720805,0.16479218091510892,-0.23125112511251134,-0.4117744290476322,-0.35824955292066785,-0.12587425560729465,-0.22559332062323317,-0.35365368523573715,0.27616279069767447,0.35913312693498456,-0.10040983606557366,-0.16413181242078576,-0.27006087437742116,-0.19462677453823835,1485.994343974627,342343.1219597983,1.5615384615384615,3.3285714285714287,9.27234042540851,0.2506210807429516,0.16479218091510892,-0.35365368523573715,-0.35824955292066785,-0.10040983606557366,-0.19462677453823835,0,2,0,1,4,6,4,2,8,0,0,1,1,1,1,1,0,3,1485.994343974627,342343.1219597983,1.5615384615384615,3.3285714285714287,9.27234042540851,0.2506210807429516,0.16479218091510892,-0.35365368523573715,-0.35824955292066785,-0.10040983606557366,-0.19462677453823835,0,2,0,1,4,6,4,2,8,0,0,1,1,1,1,1,0,3
42,CO,Arapahoe County,227617.0595070343,224116.237208573,235219.893142317,382420.57872230426,400828.6065326788,421957.6342839256,485400.04376071505,555707.2736785276,542599.5159112293,0.10500000000000001,0.9199999999999999,2.915,1478.2111288018928,1531.2737969519503,1565.2736434364515,1688.811103058595,1893.6387086021182,1969.2036838591487,19.0,12196.916666666666,9848.25,7600.25,8299.166666666666,8664.0,4714.416666666667,4646.75,4726.083333333333,4852.5,5210.583333333333,3921.6666666666665,3105.0,34.583333333333336,28.416666666666668,15.916666666666666,20.416666666666668,32.083333333333336,728.5,595.5,412.4166666666667,328.9166666666667,338.4166666666667,348.4166666666667,634.0,6.1,6.425,5.0625,31.75,0.0528125,1938.0,8.0,5.0,12.398692810495099,-0.023885867192032072,0.1177444935120707,0.28497404200243526,0.04049403025797577,0.14997137657450857,0.23934804088441416,-0.20824479388015296,-0.40409742991027875,-0.3601236476043277,0.04396023697158357,0.13996250123351206,-0.12024979057192904,0.5714285714285715,1.0157068062827228,0.12903225806451615,0.029549372075843388,0.05928553331644286,-0.15518286522529803,1969.2036838591487,542599.5159112293,2.915,6.1,12.398692810495099,0.28497404200243526,0.23934804088441416,-0.12024979057192904,-0.3601236476043277,0.12903225806451615,-0.15518286522529803,0,0,1,0,3,2,6,5,7,0,0,2,2,2,0,7,7,7,1969.2036838591487,542599.5159112293,2.915,6.1,12.398692810495099,0.28497404200243526,0.23934804088441416,-0.12024979057192904,-0.3601236476043277,0.12903225806451615,-0.15518286522529803,0,0,1,0,3,2,6,5,7,0,0,2,2,2,0,7,7,7
46,VA,Arlington County,362917.3996069965,515499.07478346984,530381.9893779705,604702.4338270755,640587.6671964097,682267.3625241892,714748.260784799,735810.6856530647,733544.2969193378,0.05,0.32999999999999996,1.52,2079.961079217001,2114.796718375275,2178.8432696874947,2197.8420772371865,2422.6777347859106,2525.965277989254,6.0,19834.666666666668,16068.75,16472.083333333332,14170.416666666666,10769.916666666666,6806.083333333333,7841.166666666667,8030.583333333333,8687.083333333334,10549.0,7845.583333333333,5721.416666666667,42.0,31.083333333333332,19.5,22.583333333333332,26.166666666666668,917.0,510.1666666666667,466.0833333333333,630.3333333333334,638.25,543.0833333333334,33.0,8.9,15.9,19.0,45.0,0.278,40082.0,51.0,13.0,14.104051565154696,-0.0056490197198397684,0.01770896403189456,0.0628474792879968,0.04170620657823817,0.13765755853540007,0.14767835972286472,-0.2707468108383697,-0.457634214933485,-0.3413880761667226,-0.2399717721779529,-0.3461715528798725,-0.3297601452093868,0.15867158671586729,0.34188034188034194,-0.15817694369973184,-0.14910562736649688,-0.1384188260179799,0.1652065081351691,2525.965277989254,733544.2969193378,1.52,8.9,14.104051565154696,0.0628474792879968,0.14767835972286472,-0.3297601452093868,-0.3413880761667226,-0.15817694369973184,0.1652065081351691,0,0,2,4,1,4,2,7,6,1,1,3,3,3,3,3,3,1,2525.965277989254,733544.2969193378,1.52,8.9,14.104051565154696,0.0628474792879968,0.14767835972286472,-0.3297601452093868,-0.3413880761667226,-0.15817694369973184,0.1652065081351691,0,0,2,4,1,4,2,7,6,1,1,3,3,3,3,3,3,1
69,MD,Baltimore County,229429.49455221012,353783.3156666885,291924.59631019284,330988.8500047701,339166.5256679283,350912.6966135661,390449.35749575414,420825.489603124,431320.73674454895,0.13421052631578947,0.7578947368421053,1.7947368421052632,1377.7295534364684,1456.3703569925103,1439.851580507552,1490.6009328113485,1605.5065840477066,1641.4819585270586,20.0,12302.833333333334,9226.583333333334,7686.833333333332,6715.75,5593.333333333333,2964.0833333333335,3678.5,3687.166666666666,4250.083333333333,5713.666666666667,4340.75,3060.25,56.83333333333334,45.5,20.666666666666668,21.25,25.416666666666668,306.3333333333333,177.91666666666666,208.33333333333334,255.08333333333337,192.5,161.25,1089.111111111111,4.833333333333333,5.805555555555555,3.5555555555555554,17.5,0.059111111111111114,13213.0,24.0,5.0,10.643982356550096,0.024904429891815117,0.10361343004611302,0.22788486716859296,0.01821800766039284,0.09032937506860775,0.194034471235692,-0.29499510453262684,-0.46439822647453477,-0.27995529499421573,-0.1671319907183363,-0.27234882157802304,-0.39378065192062794,0.19607843137254907,0.22983870967741937,-0.44139194139194143,-0.16233766233766234,-0.3678536426004574,-0.22600000000000003,1641.4819585270586,431320.73674454895,1.7947368421052632,4.833333333333333,10.643982356550096,0.22788486716859296,0.194034471235692,-0.39378065192062794,-0.27995529499421573,-0.44139194139194143,-0.22600000000000003,0,2,0,1,4,6,4,2,9,0,0,1,1,1,1,1,0,3,1641.4819585270586,431320.73674454895,1.7947368421052632,4.833333333333333,10.643982356550096,0.22788486716859296,0.194034471235692,-0.39378065192062794,-0.27995529499421573,-0.44139194139194143,-0.22600000000000003,0,2,0,1,4,6,4,2,9,0,0,1,1,1,1,1,0,3
101,SC,Berkeley County,134935.26098823853,193376.71621076504,178803.96462567835,232408.12904513848,247262.29124688,262295.3773518336,302672.39177903783,351758.63387032953,353621.43935550936,0.3230769230769231,1.4769230769230768,4.369230769230769,1352.1134374689798,1391.5247648097131,1431.5121211303028,1587.733986914267,1797.4259445793766,1926.227817297641,75.0,6100.583333333333,5097.5,3014.75,2649.3333333333335,2872.75,1123.8333333333333,1408.8333333333333,1412.9166666666667,1659.1666666666667,1958.75,1464.1666666666667,1099.8333333333333,67.41666666666667,62.333333333333336,27.333333333333332,21.75,35.0,199.0,183.25,232.25,337.25,359.4166666666667,349.6666666666667,2355.3333333333335,1.6666666666666667,0.8666666666666666,1.6666666666666667,8.0,0.009666666666666665,35616.0,45.0,15.0,6.20499999996,0.017428403366058172,0.1706749128347411,0.34845846985093815,0.07082745856852724,0.22274700115146864,0.3556247144137883,-0.2488332384746728,-0.43850244628802393,-0.33711702661978915,0.08432939104177145,-0.04710174973049175,-0.4364394310936734,0.6091954022988506,0.28048780487804886,-0.4385026737967915,-0.0271272895896128,0.03681739560168031,0.5055615357014712,1926.227817297641,353621.43935550936,4.369230769230769,1.6666666666666667,6.20499999996,0.34845846985093815,0.3556247144137883,-0.4364394310936734,-0.33711702661978915,-0.4385026737967915,0.5055615357014712,1,2,0,1,4,0,0,3,8,0,2,0,0,0,6,6,6,6,1926.227817297641,353621.43935550936,4.369230769230769,1.6666666666666667,6.20499999996,0.34845846985093815,0.3556247144137883,-0.4364394310936734,-0.33711702661978915,-0.4385026737967915,0.5055615357014712,1,2,0,1,4,0,0,3,8,0,2,0,0,0,6,6,6,6
