,state code,county code,area,state abbv
0,1,0,Alabama,AL
1,1,1,Autauga County,AL
2,1,3,Baldwin County,AL
3,1,5,Barbour County,AL
4,1,7,Bibb County,AL
5,1,9,Blount County,AL
6,1,11,Bullock County,AL
7,1,13,Butler County,AL
8,1,15,Calhoun County,AL
9,1,17,Chambers County,AL
10,1,19,Cherokee County,AL
11,1,21,Chilton County,AL
12,1,23,Choctaw County,AL
13,1,25,Clarke County,AL
14,1,27,Clay County,AL
15,1,29,Cleburne County,AL
16,1,31,Coffee County,AL
17,1,33,Colbert County,AL
18,1,35,Conecuh County,AL
19,1,37,Coosa County,AL
20,1,39,Covington County,AL
21,1,41,Crenshaw County,AL
22,1,43,Cullman County,AL
23,1,45,Dale County,AL
24,1,47,Dallas County,AL
25,1,49,DeKalb County,AL
26,1,51,Elmore County,AL
27,1,53,Escambia County,AL
28,1,55,Etowah County,AL
29,1,57,Fayette County,AL
30,1,59,Franklin County,AL
31,1,61,Geneva County,AL
32,1,63,Greene County,AL
33,1,65,Hale County,AL
34,1,67,Henry County,AL
35,1,69,Houston County,AL
36,1,71,Jackson County,AL
37,1,73,Jefferson County,AL
38,1,75,Lamar County,AL
39,1,77,Lauderdale County,AL
40,1,79,Lawrence County,AL
41,1,81,Lee County,AL
42,1,83,Limestone County,AL
43,1,85,Lowndes County,AL
44,1,87,Macon County,AL
45,1,89,Madison County,AL
46,1,91,Marengo County,AL
47,1,93,Marion County,AL
48,1,95,Marshall County,AL
49,1,97,Mobile County,AL
50,1,99,Monroe County,AL
51,1,101,Montgomery County,AL
52,1,103,Morgan County,AL
53,1,105,Perry County,AL
54,1,107,Pickens County,AL
55,1,109,Pike County,AL
56,1,111,Randolph County,AL
57,1,113,Russell County,AL
58,1,115,St. Clair County,AL
59,1,117,Shelby County,AL
60,1,119,Sumter County,AL
61,1,121,Talladega County,AL
62,1,123,Tallapoosa County,AL
63,1,125,Tuscaloosa County,AL
64,1,127,Walker County,AL
65,1,129,Washington County,AL
66,1,131,Wilcox County,AL
67,1,133,Winston County,AL
68,1,0,Abbeville city,AL
69,1,0,Adamsville city,AL
70,1,0,Addison town,AL
71,1,0,Akron town,AL
72,1,0,Alabaster city,AL
73,1,0,Albertville city,AL
74,1,0,Alexander City city,AL
75,1,0,Aliceville city,AL
76,1,0,Allgood town,AL
77,1,0,Altoona town,AL
78,1,0,Andalusia city,AL
79,1,0,Anderson town,AL
80,1,0,Anniston city,AL
81,1,0,Arab city,AL
82,1,0,Ardmore town,AL
83,1,0,Argo town,AL
84,1,0,Ariton town,AL
85,1,0,Arley town,AL
86,1,0,Ashford town,AL
87,1,0,Ashland town,AL
88,1,0,Ashville city,AL
89,1,0,Athens city,AL
90,1,0,Atmore city,AL
91,1,0,Attalla city,AL
92,1,0,Auburn city,AL
93,1,0,Autaugaville town,AL
94,1,0,Avon town,AL
95,1,0,Babbie town,AL
96,1,0,Baileyton town,AL
97,1,0,Bakerhill town,AL
98,1,0,Banks town,AL
99,1,0,Bay Minette city,AL
100,1,0,Bayou La Batre city,AL
101,1,0,Bear Creek town,AL
102,1,0,Beatrice town,AL
103,1,0,Beaverton town,AL
104,1,0,Belk town,AL
105,1,0,Benton town,AL
106,1,0,Berlin town,AL
107,1,0,Berry town,AL
108,1,0,Bessemer city,AL
109,1,0,Billingsley town,AL
110,1,0,Birmingham city,AL
111,1,0,Black town,AL
112,1,0,Blountsville town,AL
113,1,0,Blue Springs town,AL
114,1,0,Boaz city,AL
115,1,0,Boligee town,AL
116,1,0,Bon Air town,AL
117,1,0,Brantley town,AL
118,1,0,Brent city,AL
119,1,0,Brewton city,AL
120,1,0,Bridgeport city,AL
121,1,0,Brighton city,AL
122,1,0,Brilliant town,AL
123,1,0,Brookside town,AL
124,1,0,Brookwood town,AL
125,1,0,Brundidge city,AL
126,1,0,Butler town,AL
127,1,0,Calera city,AL
128,1,0,Camden city,AL
129,1,0,Camp Hill town,AL
130,1,0,Carbon Hill city,AL
131,1,0,Cardiff town,AL
132,1,0,Carolina town,AL
133,1,0,Carrollton town,AL
134,1,0,Castleberry town,AL
135,1,0,Cedar Bluff town,AL
136,1,0,Center Point city,AL
137,1,0,Centre city,AL
138,1,0,Centreville city,AL
139,1,0,Chatom town,AL
140,1,0,Chelsea city,AL
141,1,0,Cherokee town,AL
142,1,0,Chickasaw city,AL
143,1,0,Childersburg city,AL
144,1,0,Citronelle city,AL
145,1,0,Clanton city,AL
146,1,0,Clay city,AL
147,1,0,Clayhatchee town,AL
148,1,0,Clayton town,AL
149,1,0,Cleveland town,AL
150,1,0,Clio city,AL
151,1,0,Coaling town,AL
152,1,0,Coffee Springs town,AL
153,1,0,Coffeeville town,AL
154,1,0,Coker town,AL
155,1,0,Collinsville town,AL
156,1,0,Colony town,AL
157,1,0,Columbia town,AL
158,1,0,Columbiana city,AL
159,1,0,Coosada town,AL
160,1,0,Cordova city,AL
161,1,0,Cottonwood town,AL
162,1,0,County Line town,AL
163,1,0,Courtland town,AL
164,1,0,Cowarts town,AL
165,1,0,Creola city,AL
166,1,0,Crossville town,AL
167,1,0,Cuba town,AL
168,1,0,Cullman city,AL
169,1,0,Cusseta town,AL
170,1,0,Dadeville city,AL
171,1,0,Daleville city,AL
172,1,0,Daphne city,AL
173,1,0,Dauphin Island town,AL
174,1,0,Daviston town,AL
175,1,0,Dayton town,AL
176,1,0,Deatsville town,AL
177,1,0,Decatur city,AL
178,1,0,Demopolis city,AL
179,1,0,Detroit town,AL
180,1,0,Dodge City town,AL
181,1,0,Dora city,AL
182,1,0,Dothan city,AL
183,1,0,Double Springs town,AL
184,1,0,Douglas town,AL
185,1,0,Dozier town,AL
186,1,0,Dutton town,AL
187,1,0,East Brewton city,AL
188,1,0,Eclectic town,AL
189,1,0,Edwardsville town,AL
190,1,0,Elba city,AL
191,1,0,Elberta town,AL
192,1,0,Eldridge town,AL
193,1,0,Elkmont town,AL
194,1,0,Elmore town,AL
195,1,0,Emelle town,AL
196,1,0,Enterprise city,AL
197,1,0,Epes town,AL
198,1,0,Ethelsville town,AL
199,1,0,Eufaula city,AL
200,1,0,Eutaw town,AL
201,1,0,Eva town,AL
202,1,0,Evergreen city,AL
203,1,0,Excel town,AL
204,1,0,Fairfield city,AL
205,1,0,Fairhope city,AL
206,1,0,Fairview town,AL
207,1,0,Falkville town,AL
208,1,0,Faunsdale town,AL
209,1,0,Fayette city,AL
210,1,0,Five Points town,AL
211,1,0,Flomaton town,AL
212,1,0,Florala town,AL
213,1,0,Florence city,AL
214,1,0,Foley city,AL
215,1,0,Forkland town,AL
216,1,0,Fort Deposit town,AL
217,1,0,Fort Payne city,AL
218,1,0,Franklin town,AL
219,1,0,Frisco City town,AL
220,1,0,Fruithurst town,AL
221,1,0,Fulton town,AL
222,1,0,Fultondale city,AL
223,1,0,Fyffe town,AL
224,1,0,Gadsden city,AL
225,1,0,Gainesville town,AL
226,1,0,Gantt town,AL
227,1,0,Garden City town,AL
228,1,0,Gardendale city,AL
229,1,0,Gaylesville town,AL
230,1,0,Geiger town,AL
231,1,0,Geneva city,AL
232,1,0,Georgiana town,AL
233,1,0,Geraldine town,AL
234,1,0,Gilbertown town,AL
235,1,0,Glen Allen town,AL
236,1,0,Glencoe city,AL
237,1,0,Glenwood town,AL
238,1,0,Goldville town,AL
239,1,0,Good Hope city,AL
240,1,0,Goodwater town,AL
241,1,0,Gordo town,AL
242,1,0,Gordon town,AL
243,1,0,Gordonville town,AL
244,1,0,Goshen town,AL
245,1,0,Grant town,AL
246,1,0,Graysville city,AL
247,1,0,Greensboro city,AL
248,1,0,Greenville city,AL
249,1,0,Grimes town,AL
250,1,0,Grove Hill town,AL
251,1,0,Guin city,AL
252,1,0,Gulf Shores city,AL
253,1,0,Guntersville city,AL
254,1,0,Gurley town,AL
255,1,0,Gu-Win town,AL
256,1,0,Hackleburg town,AL
257,1,0,Haleburg town,AL
258,1,0,Haleyville city,AL
259,1,0,Hamilton city,AL
260,1,0,Hammondville town,AL
261,1,0,Hanceville city,AL
262,1,0,Harpersville town,AL
263,1,0,Hartford city,AL
264,1,0,Hartselle city,AL
265,1,0,Hayden town,AL
266,1,0,Hayneville town,AL
267,1,0,Headland city,AL
268,1,0,Heath town,AL
269,1,0,Heflin city,AL
270,1,0,Helena city,AL
271,1,0,Henagar city,AL
272,1,0,Highland Lake town,AL
273,1,0,Hillsboro town,AL
274,1,0,Hobson City town,AL
275,1,0,Hodges town,AL
276,1,0,Hokes Bluff city,AL
277,1,0,Holly Pond town,AL
278,1,0,Hollywood town,AL
279,1,0,Homewood city,AL
280,1,0,Hoover city,AL
281,1,0,Horn Hill town,AL
282,1,0,Hueytown city,AL
283,1,0,Huntsville city,AL
284,1,0,Hurtsboro town,AL
285,1,0,Hytop town,AL
286,1,0,Ider town,AL
287,1,0,Indian Springs Village city,AL
288,1,0,Irondale city,AL
289,1,0,Jackson city,AL
290,1,0,Jacksons' Gap town,AL
291,1,0,Jacksonville city,AL
292,1,0,Jasper city,AL
293,1,0,Jemison city,AL
294,1,0,Kansas town,AL
295,1,0,Kellyton town,AL
296,1,0,Kennedy town,AL
297,1,0,Killen town,AL
298,1,0,Kimberly city,AL
299,1,0,Kinsey town,AL
300,1,0,Kinston town,AL
301,1,0,La Fayette city,AL
302,1,0,Lakeview town,AL
303,1,0,Lake View town,AL
304,1,0,Lanett city,AL
