,Rank,City,State,Score,TCI,Jobs,Trips/Week,Routes,Transit Shed (sq mi),Transit percentage,Population
0,1,New York,NY,9.6,34.3,"1,359,180","13,771",20,42,0.59,"8,560,072"
1,2,San Francisco,CA,9.6,31.7,"653,730","11,896",26,37,0.365,"864,263"
2,3,Hoboken,NJ,9.5,26.4,"2,056,803","4,623",14,33,0.637,"54,117"
3,4,East Cleveland,OH,9.4,12.0,"179,688","12,965",7,45,0.204,"17,375"
4,5,Darby,PA,9.4,21.7,"346,376","2,886",7,49,0.291,"10,710"
5,6,Union City,NJ,9.3,21.8,"2,021,203","6,020",24,51,0.443,"69,815"
6,7,Washington,DC,9.3,23.3,"658,064","8,095",25,50,0.376,"672,391"
7,8,Brookline,MA,9.3,26.0,"677,280","6,491",8,42,0.329,"59,246"
8,9,Shaker Heights,OH,9.3,11.1,"174,214","6,502",4,46,0.064,"27,749"
9,10,Boston,MA,9.3,25.6,"645,907","8,241",16,49,0.348,"669,091"
10,11,Yeadon,PA,9.3,20.5,"397,158","3,057",6,55,0.156,"11,523"
11,12,West New York,NJ,9.3,20.2,"1,954,821","5,579",15,43,0.467,"53,345"
12,13,Jersey City,NJ,9.3,21.5,"869,259","4,741",11,25,0.501,"265,932"
13,14,Forest Park,IL,9.2,18.4,"442,613","4,092",12,63,0.228,"13,400"
14,15,Mount Vernon,NY,9.2,16.1,"314,407","5,406",10,38,0.308,"68,671"
15,16,Oak Park,IL,9.1,17.8,"468,529","3,597",8,58,0.281,"52,229"
16,17,Cambridge,MA,9.1,23.4,"693,282","6,873",14,48,0.321,"110,893"
17,18,South Salt Lake,UT,9.1,12.0,"228,072","4,373",6,46,0.109,"24,927"
18,19,Harrison,NJ,9.1,18.4,"632,876","5,113",19,50,0.338,"15,898"
19,20,Chicago,IL,9.1,19.1,"547,628","6,190",11,52,0.295,"2,723,672"
20,21,Emeryville,CA,9.0,13.3,"558,407","5,092",20,38,0.276,"11,524"
21,22,Philadelphia,PA,9.0,20.2,"378,628","5,879",12,52,0.262,"1,569,657"
22,23,Florence-Graham,CA,9.0,14.2,"420,123","3,763",9,75,0.133,"62,477"
23,24,Chelsea,MA,9.0,13.7,"543,195","6,034",8,34,0.294,"39,272"
24,25,Brownsville,FL,9.0,15.7,"398,543","3,321",9,78,0.129,"15,418"
25,26,Hyattsville,MD,9.0,16.4,"350,535","3,291",13,59,0.263,"20,046"
26,27,Silver Spring,MD,9.0,18.0,"481,561","9,737",30,72,0.301,"79,179"
27,28,Huntington,VA,9.0,18.1,"213,358","4,632",13,39,0.344,"13,460"
28,29,Takoma Park,MD,8.9,14.7,"299,116","5,806",16,52,0.312,"17,947"
29,30,Clayton,MO,8.9,10.5,"231,171","3,797",7,45,0.06,"15,152"
30,31,Somerville,MA,8.9,17.7,"608,451","4,924",10,41,0.341,"79,983"
31,32,Portland,OR,8.9,13.5,"254,218","8,189",10,47,0.134,"627,964"
32,33,Arlington,VA,8.9,15.9,"629,260","5,505",19,45,0.278,"229,534"
33,34,Yonkers,NY,8.9,12.5,"253,553","6,974",10,34,0.283,"200,999"
34,35,Guttenberg,NJ,8.9,12.1,"1,761,381","5,407",13,41,0.465,"11,733"
35,36,Wheaton,MD,8.9,14.8,"274,137","4,171",14,65,0.224,"51,924"
36,37,Tysons,VA,8.9,13.8,"435,946","4,025",15,48,0.128,"21,327"
37,38,Lansdowne,PA,8.8,13.8,"425,729","2,121",7,61,0.234,"10,641"
38,39,North Bethesda,MD,8.8,15.4,"367,427","4,210",11,67,0.259,"49,966"
39,40,Cleveland,OH,8.8,8.9,"182,050","8,013",6,39,0.104,"388,631"
40,41,Berkeley,CA,8.8,14.6,"332,585","4,353",15,36,0.257,"120,179"
41,42,Culver City,CA,8.8,5.1,"566,368","6,005",9,54,0.034,"38,504"
42,43,Bayonne,NJ,8.8,13.3,"119,633","2,438",6,12,0.252,"66,719"
43,44,Ashland,CA,8.7,14.1,"182,728","2,476",8,42,0.118,"23,993"
44,45,Glenmont,MD,8.7,15.9,"240,603","4,294",13,69,0.25,"16,102"
45,46,Hillcrest Heights,MD,8.7,13.3,"248,007","3,873",17,42,0.263,"16,021"
46,47,East Los Angeles,CA,8.7,13.7,"485,477","3,136",12,50,0.091,"123,092"
47,48,Newark,NJ,8.7,14.9,"314,006","5,135",14,46,0.267,"282,803"
48,49,West Hollywood,CA,8.7,10.5,"732,933","4,760",9,56,0.034,"36,148"
49,50,Malden,MA,8.7,13.5,"379,104","4,041",11,38,0.327,"61,212"
50,51,Albany,CA,8.7,11.5,"338,753","3,299",14,35,0.288,"19,682"
51,52,Chillum,MD,8.7,12.5,"275,496","2,990",11,49,0.275,"33,147"
